signal_score,why_now,company_name,contact_person,role,email,phone,industry,state,tier,hrms_fit_score,crm_stage,website,cin,company_status
100,HR-intensive industry (manufacturing) · reachable by mobile · email on file · no HRMS detected · registered entity (Ltd/Industries) · actively hiring HR/payroll roles,Cenlub Industries Limited,,,cenlub@cenlub.in,7841796875,manufacturing,Haryana,Hot,8.6,new,https://L67120HR1992PLC035087.mca.lead,L67120HR1992PLC035087,Active
100,HR-intensive industry (pharmaceutical) · reachable by mobile · email on file · no HRMS detected · registered entity (Ltd/Industries) · actively hiring HR/payroll roles,Advik Laboratories Limited,,,mail@advikindia.com,8589934592,pharmaceutical,Haryana,Hot,8.6,new,https://L74899HR1994PLC038300.mca.lead,L74899HR1994PLC038300,Active
100,HR-intensive industry (staffing) · email on file · no HRMS detected · registered entity (Ltd/Industries) · actively hiring HR/payroll roles · recent funding (budget + scaling),Tenacious Hr Solutions Private Limited,,,punit.srivastava@tenacioushrs.com,,staffing,Haryana,Hot,8.1,new,https://U74999HR2015PTC057692.mca.lead,U74999HR2015PTC057692,Active
100,HR-intensive industry (BPO) · email on file · no HRMS detected · registered entity (Ltd/Industries) · actively hiring HR/payroll roles · recent funding (budget + scaling),Tanserv Business Process Private Limited,,,roc@kvaandcompany.com,,BPO,Haryana,Hot,8.1,new,https://U74900HR2012PTC045544.mca.lead,U74900HR2012PTC045544,Active
94,HR-intensive industry (BPO) · email on file · no HRMS detected · registered entity (Ltd/Industries) · actively hiring HR/payroll roles,Daffodil Teleservices Private Limited,,,khetanhonda@gmail.com,,BPO,Haryana,Hot,8.1,new,https://U45400HR2010PTC040458.mca.lead,U45400HR2010PTC040458,Active
94,HR-intensive industry (staffing) · email on file · no HRMS detected · registered entity (Ltd/Industries) · actively hiring HR/payroll roles,Sirdhana Security & Manpower Servicesprivate Limited,,,makitaly@gmail.com,,staffing,Haryana,Hot,8.1,new,https://U93000HR2013PTC051142.mca.lead,U93000HR2013PTC051142,Active
94,HR-intensive industry (staffing) · email on file · no HRMS detected · registered entity (Ltd/Industries) · actively hiring HR/payroll roles,Grb Corporate Hr Solutions Privatelimited,,,mkashyap.isp109@gmail.com,,staffing,Haryana,Hot,8.1,new,https://U93000HR2011PTC043310.mca.lead,U93000HR2011PTC043310,Active
94,HR-intensive industry (staffing) · email on file · no HRMS detected · registered entity (Ltd/Industries) · actively hiring HR/payroll roles,Shree Hari Manpower Services Privatelimited,,,arihant999@hotmail.com,,staffing,Haryana,Hot,8.1,new,https://U93000HR2009PTC039118.mca.lead,U93000HR2009PTC039118,Active
94,HR-intensive industry (staffing) · email on file · no HRMS detected · registered entity (Ltd/Industries) · actively hiring HR/payroll roles,Integrated Workforce Solutions Privatelimited,,,anil@hrindiasolutions.com,,staffing,Haryana,Hot,8.1,new,https://U95000HR2012PTC046531.mca.lead,U95000HR2012PTC046531,Active
94,HR-intensive industry (staffing) · email on file · no HRMS detected · registered entity (Ltd/Industries) · actively hiring HR/payroll roles,Cosmic Human Resource Services Privatelimited,,,adv.cssukeshsaini@yahoo.in,,staffing,Haryana,Hot,8.1,new,https://U74999HR2014PTC051911.mca.lead,U74999HR2014PTC051911,Active
94,HR-intensive industry (staffing) · email on file · no HRMS detected · registered entity (Ltd/Industries) · actively hiring HR/payroll roles,Keiretsu Global Hr Solutions Privatelimited,,,pradeep.lakhani@gmail.com,,staffing,Haryana,Hot,8.1,new,https://U74999HR2013PTC050968.mca.lead,U74999HR2013PTC050968,Active
94,HR-intensive industry (staffing) · email on file · no HRMS detected · registered entity (Ltd/Industries) · actively hiring HR/payroll roles,Assure Manpower And Security Servicesprivate Limited,,,pankaj.goyal@exprt.com,,staffing,Haryana,Hot,8.1,new,https://U74999HR2016PTC064381.mca.lead,U74999HR2016PTC064381,Active
94,HR-intensive industry (BPO) · email on file · no HRMS detected · registered entity (Ltd/Industries) · actively hiring HR/payroll roles,Darsh Outsourcing Solutions Privatelimited,,,CAH.SOLANKI@GMAIL.COM,,BPO,Haryana,Hot,8.1,new,https://U74999HR2015PTC055977.mca.lead,U74999HR2015PTC055977,Active
94,HR-intensive industry (staffing) · email on file · no HRMS detected · registered entity (Ltd/Industries) · actively hiring HR/payroll roles,Lazzaro Hr Solutions Private Limited,,,GJUNEJA82@GMAIL.COM,,staffing,Haryana,Hot,8.1,new,https://U74999HR2012PTC045994.mca.lead,U74999HR2012PTC045994,Active
94,HR-intensive industry (staffing) · email on file · no HRMS detected · registered entity (Ltd/Industries) · actively hiring HR/payroll roles,Homestead Human Resource Developmentprivate Limited,,,secretarial@homestead-india.com,,staffing,Haryana,Hot,8.1,new,https://U74910HR2013PTC048999.mca.lead,U74910HR2013PTC048999,Active
94,HR-intensive industry (staffing) · email on file · no HRMS detected · registered entity (Ltd/Industries) · actively hiring HR/payroll roles,Delport Manpower Solutions Privatelimited,,,gummadirk@rediffmail.com,,staffing,Haryana,Hot,8.1,new,https://U74910HR2012PTC046186.mca.lead,U74910HR2012PTC046186,Active
94,HR-intensive industry (staffing) · email on file · no HRMS detected · registered entity (Ltd/Industries) · actively hiring HR/payroll roles,Ganga Security & Hr Services Privatelimited,,,sudhiraryaassociates@gmail.com,,staffing,Haryana,Hot,8.1,new,https://U74920HR2013PTC048868.mca.lead,U74920HR2013PTC048868,Active
