signal_score,why_now,company_name,contact_person,role,email,phone,industry,state,tier,hrms_fit_score,crm_stage,website,cin,company_status
86,HR-intensive industry (manufacturing) · reachable by mobile · email on file · no HRMS detected · registered entity (Ltd/Industries),Cenlub Industries Limited,,,cenlub@cenlub.in,7841796875,manufacturing,Haryana,Hot,8.6,new,https://L67120HR1992PLC035087.mca.lead,L67120HR1992PLC035087,Active
82,HR-intensive industry (pharmaceutical) · reachable by mobile · email on file · no HRMS detected · registered entity (Ltd/Industries),Advik Laboratories Limited,,,mail@advikindia.com,8589934592,pharmaceutical,Haryana,Hot,8.6,new,https://L74899HR1994PLC038300.mca.lead,L74899HR1994PLC038300,Active
72,HR-intensive industry (BPO) · email on file · no HRMS detected · registered entity (Ltd/Industries),Matrix Back Office Services Privatelimited,,,cs@shyamapower.com,,BPO,Haryana,Hot,8.1,new,https://U74999HR2005PTC056783.mca.lead,U74999HR2005PTC056783,Active
72,HR-intensive industry (staffing) · email on file · no HRMS detected · registered entity (Ltd/Industries),Safeguard World Payroll Services Private Limited,,,gagangupta@safeguardworld.com,,staffing,Haryana,Warm,7.5,new,https://U74900HR2011FTC051068.mca.lead,U74900HR2011FTC051068,Active
72,HR-intensive industry (BPO) · email on file · no HRMS detected · registered entity (Ltd/Industries),Ing Bpo Services India Private Limited,,,companylaw@sgcservices.com,,BPO,Haryana,Hot,8.1,new,https://U00000HR2005PTC035630.mca.lead,U00000HR2005PTC035630,Active
72,HR-intensive industry (BPO) · email on file · no HRMS detected · registered entity (Ltd/Industries),Daffodil Teleservices Private Limited,,,khetanhonda@gmail.com,,BPO,Haryana,Hot,8.1,new,https://U45400HR2010PTC040458.mca.lead,U45400HR2010PTC040458,Active
72,HR-intensive industry (BPO) · email on file · no HRMS detected · registered entity (Ltd/Industries),Voiceworks Bpo Services Private Limited,,,saa_icai@rediffmail.com,,BPO,Haryana,Hot,8.1,new,https://U00892HR2005PTC035842.mca.lead,U00892HR2005PTC035842,Active
72,HR-intensive industry (staffing) · email on file · no HRMS detected · registered entity (Ltd/Industries),Nestor Hr Services Private Limited,,,chordiyacompany@gmail.com,,staffing,Haryana,Hot,8.1,new,https://U00898HR2005PTC035762.mca.lead,U00898HR2005PTC035762,Active
72,HR-intensive industry (staffing) · email on file · no HRMS detected · registered entity (Ltd/Industries),Os Cube Hr Services Private Limited,,,virajmalik@gmail.com,,staffing,Haryana,Hot,8.1,new,https://U52100HR2012PTC044808.mca.lead,U52100HR2012PTC044808,Active
72,HR-intensive industry (BPO) · email on file · no HRMS detected · registered entity (Ltd/Industries),Alliance Tele Services Private Limited,,,chordiya@airtelbroadband.in,,BPO,Haryana,Hot,8.1,new,https://U32204HR2006PTC036503.mca.lead,U32204HR2006PTC036503,Active
72,HR-intensive industry (staffing) · email on file · no HRMS detected · registered entity (Ltd/Industries),Buddies Hr Solutions Private Limited,,,colonelvinod@gmail.com,,staffing,Haryana,Hot,8.1,new,https://U93000HR2014PTC052105.mca.lead,U93000HR2014PTC052105,Active
72,HR-intensive industry (staffing) · email on file · no HRMS detected · registered entity (Ltd/Industries),Ncr Hr Solutions Private Limited,,,CACKHANS@HOTMAIL.COM,,staffing,Haryana,Hot,8.1,new,https://U93000HR2014PTC051542.mca.lead,U93000HR2014PTC051542,Active
72,HR-intensive industry (staffing) · email on file · no HRMS detected · registered entity (Ltd/Industries),Sirdhana Security & Manpower Servicesprivate Limited,,,makitaly@gmail.com,,staffing,Haryana,Hot,8.1,new,https://U93000HR2013PTC051142.mca.lead,U93000HR2013PTC051142,Active
72,HR-intensive industry (BPO) · email on file · no HRMS detected · registered entity (Ltd/Industries),Ams Comtel Business Process Managementservices Private Limited,,,safia.anwar@ams-ventures.com,,BPO,Haryana,Hot,8.1,new,https://U93000HR2013PTC050476.mca.lead,U93000HR2013PTC050476,Active
72,HR-intensive industry (BPO) · email on file · no HRMS detected · registered entity (Ltd/Industries),Parin Bpo Services Private Limited,,,deepakbhaskar90@gmail.com,,BPO,Haryana,Hot,8.1,new,https://U93000HR2013PTC048973.mca.lead,U93000HR2013PTC048973,Active
72,HR-intensive industry (staffing) · email on file · no HRMS detected · registered entity (Ltd/Industries),Drb Manpower Solutions Private Limited,,,singhrahul2600@gmail.com,,staffing,Haryana,Hot,8.1,new,https://U93090HR2009PTC039402.mca.lead,U93090HR2009PTC039402,Active
72,HR-intensive industry (staffing) · email on file · no HRMS detected · registered entity (Ltd/Industries),Ethical Hr Solutions Private Limited,,,pank248@gmail.com,,staffing,Haryana,Hot,8.1,new,https://U93090HR2006PTC036483.mca.lead,U93090HR2006PTC036483,Active
72,HR-intensive industry (BPO) · email on file · no HRMS detected · registered entity (Ltd/Industries),Moneyplant Teleservices Private Limited,,,teena.patney@gmail.com,,BPO,Haryana,Hot,8.1,new,https://U93000HR2015PTC057112.mca.lead,U93000HR2015PTC057112,Active
72,HR-intensive industry (BPO) · email on file · no HRMS detected · registered entity (Ltd/Industries),Akb Associates Outsourcing Services Opcprivate Limited,,,pritiverma44@yahoo.com,,BPO,Haryana,Cold,6.7,new,https://U93000HR2015OPC054221.mca.lead,U93000HR2015OPC054221,Active
